"CPI","Metric","Value"
"CPI: HDS: Furniture & Furnishings","Increase Rate","7.2%"
"CPI: HDS: Household Textiles","Start CPI (2020-01)","100.253"
"CPI: HDS: Household Textiles","End CPI (2025-12)","92.887"
"CPI: HDS: Household Textiles","Total Increase","-7.366"
"CPI: HDS: Household Textiles","Increase Rate","-7.3%"
"CPI: HDS: Household Appliances","Start CPI (2020-01)","94.178"
"CPI: HDS: Household Appliances","End CPI (2025-12)","98.297"
"CPI: HDS: Household Appliances","Total Increase","4.119"
"CPI: HDS: Household Appliances","Increase Rate","4.4%"
"CPI: HDS: Glassware, Tableware & Household Utensils","Start CPI (2020-01)","96.928"
"CPI: HDS: Glassware, Tableware & Household Utensils","End CPI (2025-12)","100.195"
"CPI: HDS: Glassware, Tableware & Household Utensils","Total Increase","3.267"
"CPI: HDS: Glassware, Tableware & Household Utensils","Increase Rate","3.4%"
"CPI: HDS: Tools & Equipment For House & Garden","Start CPI (2020-01)","85.653"
"CPI: HDS: Tools & Equipment For House & Garden","End CPI (2025-12)","99.199"
"CPI: HDS: Tools & Equipment For House & Garden","Total Increase","13.546"
"CPI: HDS: Tools & Equipment For House & Garden","Increase Rate","15.8%"
"CPI: HDS: Household Services & Supplies (HSS)","Start CPI (2020-01)","94.069"
"CPI: HDS: Household Services & Supplies (HSS)","End CPI (2025-12)","100.385"
"CPI: HDS: Household Services & Supplies (HSS)","Total Increase","6.316"
"CPI: HDS: Household Services & Supplies (HSS)","Increase Rate","6.7%"
"CPI: Health","Start CPI (2020-01)","89.381"
"CPI: Health","End CPI (2025-12)","104.715"
"CPI: Health","Total Increase","15.334"
"CPI: Health","Increase Rate","17.2%"
"CPI: Health: Medicines & Health Products","Start CPI (2020-01)","94.657"
"CPI: Health: Medicines & Health Products","End CPI (2025-12)","98.059"
"CPI: Health: Medicines & Health Products","Total Increase","3.402"
"CPI: Health: Medicines & Health Products","Increase Rate","3.6%"
"CPI: Health: Outpatient Services","Start CPI (2020-01)","89.42"
"CPI: Health: Outpatient Services","End CPI (2025-12)","99.748"
"CPI: Health: Outpatient Services","Total Increase","10.328"
"CPI: Health: Outpatient Services","Increase Rate","11.5%"
"CPI: Health: Inpatient Services","Start CPI (2020-01)","88.038"
"CPI: Health: Inpatient Services","End CPI (2025-12)","100.487"
"CPI: Health: Inpatient Services","Total Increase","12.449"
"CPI: Health: Inpatient Services","Increase Rate","14.1%"
"CPI: Health: Other Health Services (OHS)","Start CPI (2020-01)","87.196"
"CPI: Health: Other Health Services (OHS)","End CPI (2025-12)","102.789"
"CPI: Health: Other Health Services (OHS)","Total Increase","15.593"
"CPI: Health: Other Health Services (OHS)","Increase Rate","17.9%"
"CPI: Health: Health Insurance","Start CPI (2020-01)","85.88"
"CPI: Health: Health Insurance","End CPI (2025-12)","121.613"
"CPI: Health: Health Insurance","Total Increase","35.733"
"CPI: Health: Health Insurance","Increase Rate","41.6%"
"CPI: Transport","Start CPI (2020-01)","75.748"
"CPI: Transport","End CPI (2025-12)","104.378"
"CPI: Transport","Total Increase","28.63"
